Mice,Location,Cheese for Mouse Finder,Cheese,Charm for Mouse Finder,Charm,Base for Mouse Finder,Base,AR,HT,,For Map Planner,
Gargoyle,Forbidden Grove,Ancient,Ancient,,,,,17.97%,45242,Gargoyle,Forbidden Grove  Ancient    ,17.97%
Spider,Forbidden Grove,Ancient,Ancient,,,,,15.43%,38861,Spider,Forbidden Grove  Ancient    ,15.43%
Ghost,Forbidden Grove,Ancient,Ancient,,,,,12.94%,32581,Ghost,Forbidden Grove  Ancient    ,12.94%
Scavenger,Forbidden Grove,Ancient,Ancient,,,,,10.26%,25826,Scavenger,Forbidden Grove  Ancient    ,10.26%
Vampire,Forbidden Grove,Ancient,Ancient,,,,,7.64%,19237,Vampire,Forbidden Grove  Ancient    ,7.64%
Zombie,Forbidden Grove,Ancient,Ancient,,,,,6.50%,16364,Zombie,Forbidden Grove  Ancient    ,6.50%
Bat,Forbidden Grove,Ancient,Ancient,,,,,6.47%,16283,Bat,Forbidden Grove  Ancient    ,6.47%
Golem,Forbidden Grove,Ancient,Ancient,,,,,5.13%,12916,Golem,Forbidden Grove  Ancient    ,5.13%
Spectre,Forbidden Grove,Ancient,Ancient,,,,,5.16%,13001,Spectre,Forbidden Grove  Ancient    ,5.16%
Ravenous Zombie,Forbidden Grove,Ancient,Ancient,,,,,2.58%,6508,Ravenous Zombie,Forbidden Grove  Ancient    ,2.58%
Gate Guardian,Forbidden Grove,Ancient,Ancient,,,,,2.52%,6345,Gate Guardian,Forbidden Grove  Ancient    ,2.52%
Reaper,Forbidden Grove,Ancient,Ancient,,,,,2.59%,6520,Reaper,Forbidden Grove  Ancient    ,2.59%
Gorgon,Forbidden Grove,Ancient,Ancient,,,,,2.52%,6333,Gorgon,Forbidden Grove  Ancient    ,2.52%
Sorcerer,Forbidden Grove,Ancient,Ancient,,,,,1.30%,3270,Sorcerer,Forbidden Grove  Ancient    ,1.30%
Realm Ripper,Forbidden Grove,Ancient,Ancient,,,,,1.00%,2518.050505,Realm Ripper,Forbidden Grove  Ancient    ,1.00%
Lycan,Forbidden Grove,Moon,Moon,,,,,47.96%,1418,Lycan,Forbidden Grove  Moon    ,47.96%
Scavenger,Forbidden Grove,Moon,Moon,,,,,19.35%,572,Scavenger,Forbidden Grove  Moon    ,19.35%
Sorcerer,Forbidden Grove,Moon,Moon,,,,,15.09%,446,Sorcerer,Forbidden Grove  Moon    ,15.09%
Ghost,Forbidden Grove,Moon,Moon,,,,,12.04%,356,Ghost,Forbidden Grove  Moon    ,12.04%
Vampire,Forbidden Grove,Moon,Moon,,,,,4.57%,135,Vampire,Forbidden Grove  Moon    ,4.57%
Realm Ripper,Forbidden Grove,Moon,Moon,,,,,1.00%,29.56565657,Realm Ripper,Forbidden Grove  Moon    ,1.00%
Mutated White,Forbidden Grove,Radioactive Blue,Radioactive Blue,,,,,31.46%,6803,Mutated White,Forbidden Grove  Radioactive Blue    ,31.46%
Mutated Grey,Forbidden Grove,Radioactive Blue,Radioactive Blue,,,,,24.10%,5212,Mutated Grey,Forbidden Grove  Radioactive Blue    ,24.10%
Mutated Brown,Forbidden Grove,Radioactive Blue,Radioactive Blue,,,,,11.93%,2579.847,Mutated Brown,Forbidden Grove  Radioactive Blue    ,11.93%
Ghost,Forbidden Grove,Radioactive Blue,Radioactive Blue,,,,,17.06%,3690,Ghost,Forbidden Grove  Radioactive Blue    ,17.06%
Zombie,Forbidden Grove,Radioactive Blue,Radioactive Blue,,,,,8.49%,1836,Zombie,Forbidden Grove  Radioactive Blue    ,8.49%
Ravenous Zombie,Forbidden Grove,Radioactive Blue,Radioactive Blue,,,,,3.72%,804,Ravenous Zombie,Forbidden Grove  Radioactive Blue    ,3.72%
Lycan,Forbidden Grove,Radioactive Blue,Radioactive Blue,,,,,1.70%,368,Lycan,Forbidden Grove  Radioactive Blue    ,1.70%
Gargoyle,Forbidden Grove,Radioactive Blue,Radioactive Blue,,,,,0.41%,88,Gargoyle,Forbidden Grove  Radioactive Blue    ,0.41%
Black Widow,Forbidden Grove,Radioactive Blue,Radioactive Blue,,,,,0.14%,30,Black Widow,Forbidden Grove  Radioactive Blue    ,0.14%
Realm Ripper,Forbidden Grove,Radioactive Blue,Radioactive Blue,,,,,1.00%,216.2711818,Realm Ripper,Forbidden Grove  Radioactive Blue    ,1.00%
Bitter Root,Fungal Cavern,SB+/Gouda,,,,,,8.04%,92677,Bitter Root,Fungal Cavern      ,8.04%
Floating Spore,Fungal Cavern,SB+/Gouda,,,,,,13.21%,152293,Floating Spore,Fungal Cavern      ,13.21%
Funglore,Fungal Cavern,SB+/Gouda,,,,,,14.63%,168617,Funglore,Fungal Cavern      ,14.63%
Lumahead,Fungal Cavern,SB+/Gouda,,,,,,13.87%,159846,Lumahead,Fungal Cavern      ,13.87%
Mouldy Mole,Fungal Cavern,SB+/Gouda,,,,,,1.98%,22792,Mouldy Mole,Fungal Cavern      ,1.98%
Mush,Fungal Cavern,SB+/Gouda,,,,,,14.08%,162299,Mush,Fungal Cavern      ,14.08%
Mushroom Sprite,Fungal Cavern,SB+/Gouda,,,,,,9.41%,108527,Mushroom Sprite,Fungal Cavern      ,9.41%
Nightshade Masquerade,Fungal Cavern,SB+/Gouda,,,,,,2.26%,26107,Nightshade Masquerade,Fungal Cavern      ,2.26%
Quillback,Fungal Cavern,SB+/Gouda,,,,,,12.04%,138837,Quillback,Fungal Cavern      ,12.04%
Spiked Burrower,Fungal Cavern,SB+/Gouda,,,,,,7.07%,81558,Spiked Burrower,Fungal Cavern      ,7.07%
Spore Muncher,Fungal Cavern,SB+/Gouda,,,,,,2.00%,23066,Spore Muncher,Fungal Cavern      ,2.00%
Sporeticus,Fungal Cavern,SB+/Gouda,,,,,,1.40%,16159,Sporeticus,Fungal Cavern      ,1.40%
Cavern Crumbler,Fungal Cavern,Glowing Gruyere,Glowing Gruyere,,,,,11.99%,90962,Cavern Crumbler,Fungal Cavern  Glowing Gruyere    ,11.99%
Crag Elder,Fungal Cavern,Glowing Gruyere,Glowing Gruyere,,,,,20.04%,152036,Crag Elder,Fungal Cavern  Glowing Gruyere    ,20.04%
Crystalline Slasher,Fungal Cavern,Glowing Gruyere,Glowing Gruyere,,,,,18.01%,136605,Crystalline Slasher,Fungal Cavern  Glowing Gruyere    ,18.01%
Dirt Thing,Fungal Cavern,Glowing Gruyere,Glowing Gruyere,,,,,17.98%,136436,Dirt Thing,Fungal Cavern  Glowing Gruyere    ,17.98%
Gemstone Worshipper,Fungal Cavern,Glowing Gruyere,Glowing Gruyere,,,,,1.98%,15057,Gemstone Worshipper,Fungal Cavern  Glowing Gruyere    ,1.98%
Shattered Obsidian,Fungal Cavern,Glowing Gruyere,Glowing Gruyere,,,,,5.97%,45261,Shattered Obsidian,Fungal Cavern  Glowing Gruyere    ,5.97%
Splintered Stone Sentry,Fungal Cavern,Glowing Gruyere,Glowing Gruyere,,,,,4.01%,30444,Splintered Stone Sentry,Fungal Cavern  Glowing Gruyere    ,4.01%
Stone Maiden,Fungal Cavern,Glowing Gruyere,Glowing Gruyere,,,,,20.02%,151853,Stone Maiden,Fungal Cavern  Glowing Gruyere    ,20.02%
Crystal Cave Worm,Fungal Cavern,Mineral,Mineral,,,,,6.18%,22851,Crystal Cave Worm,Fungal Cavern  Mineral    ,6.18%
Crystal Controller,Fungal Cavern,Mineral,Mineral,,,,,25.77%,95271,Crystal Controller,Fungal Cavern  Mineral    ,25.77%
Crystalback,Fungal Cavern,Mineral,Mineral,,,,,24.83%,91764,Crystalback,Fungal Cavern  Mineral    ,24.83%
Gemorpher,Fungal Cavern,Mineral,Mineral,,,,,27.88%,103058,Gemorpher,Fungal Cavern  Mineral    ,27.88%
Stalagmite,Fungal Cavern,Mineral,Mineral,,,,,15.34%,56693,Stalagmite,Fungal Cavern  Mineral    ,15.34%
Crystal Golem,Fungal Cavern,Gemstone,Gemstone,,,,,5.46%,7339,Crystal Golem,Fungal Cavern  Gemstone    ,5.46%
Crystal Lurker,Fungal Cavern,Gemstone,Gemstone,,,,,30.95%,41614,Crystal Lurker,Fungal Cavern  Gemstone    ,30.95%
Crystal Observer,Fungal Cavern,Gemstone,Gemstone,,,,,26.19%,35210,Crystal Observer,Fungal Cavern  Gemstone    ,26.19%
Crystal Queen,Fungal Cavern,Gemstone,Gemstone,,,,,37.40%,50276,Crystal Queen,Fungal Cavern  Gemstone    ,37.40%
Crystal Behemoth,Fungal Cavern,Diamond,Diamond,,,,,42.43%,2924,Crystal Behemoth,Fungal Cavern  Diamond    ,42.43%
Diamondhide,Fungal Cavern,Diamond,Diamond,,,,,22.97%,1583,Diamondhide,Fungal Cavern  Diamond    ,22.97%
Huntereater,Fungal Cavern,Diamond,Diamond,,,,,34.60%,2384,Huntereater,Fungal Cavern  Diamond    ,34.60%
Micro,Gnawnia Rift,Magical String,Magical String,,,,,15.05%,3981,Micro,Gnawnia Rift  String    ,15.05%
Riftweaver,Gnawnia Rift,Magical String,Magical String,,,,,12.99%,3437,Riftweaver,Gnawnia Rift  String    ,12.99%
Brawny,Gnawnia Rift,Magical String,Magical String,,,,,11.82%,3126,Brawny,Gnawnia Rift  String    ,11.82%
Greyrun,Gnawnia Rift,Magical String,Magical String,,,,,11.50%,3041,Greyrun,Gnawnia Rift  String    ,11.50%
Agitated Gentle Giant,Gnawnia Rift,Magical String,Magical String,,,,,10.02%,2650,Agitated Gentle Giant,Gnawnia Rift  String    ,10.02%
Excitable Electric,Gnawnia Rift,Magical String,Magical String,,,,,9.24%,2445,Excitable Electric,Gnawnia Rift  String    ,9.24%
Supernatural,Gnawnia Rift,Magical String,Magical String,,,,,9.15%,2420,Supernatural,Gnawnia Rift  String    ,9.15%
Dream Drifter,Gnawnia Rift,Magical String,Magical String,,,,,8.95%,2367,Dream Drifter,Gnawnia Rift  String    ,8.95%
Mighty Mole,Gnawnia Rift,Magical String,Magical String,,,,,5.92%,1565,Mighty Mole,Gnawnia Rift  String    ,5.92%
Raw Diamond,Gnawnia Rift,Magical String,Magical String,,,,,3.15%,833,Raw Diamond,Gnawnia Rift  String    ,3.15%
Wealth,Gnawnia Rift,Magical String,Magical String,,,,,2.21%,585,Wealth,Gnawnia Rift  String    ,2.21%
Brawny,Gnawnia Rift,Brie String,Brie String,,,,,16.10%,9144,,,
Riftweaver,Gnawnia Rift,Brie String,Brie String,,,,,16.07%,9123,,,
Supernatural,Gnawnia Rift,Brie String,Brie String,,,,,15.16%,8609,,,
Greyrun,Gnawnia Rift,Brie String,Brie String,,,,,15.05%,8543,,,
Excitable Electric,Gnawnia Rift,Brie String,Brie String,,,,,14.87%,8445,,,
Agitated Gentle Giant,Gnawnia Rift,Brie String,Brie String,,,,,14.85%,8431,,,
Raw Diamond,Gnawnia Rift,Brie String,Brie String,,,,,2.01%,1140,,,
Micro,Gnawnia Rift,Brie String,Brie String,,,,,1.95%,1108,,,
Mighty Mole,Gnawnia Rift,Brie String,Brie String,,,,,1.93%,1097,,,
Dream Drifter,Gnawnia Rift,Brie String,Brie String,,,,,1.02%,580,,,
Wealth,Gnawnia Rift,Brie String,Brie String,,,,,0.98%,558,,,
Greyrun,Gnawnia Rift,Swiss String,Swiss String,,,,,17.86%,1920,,,
Riftweaver,Gnawnia Rift,Swiss String,Swiss String,,,,,17.40%,1871,,,
Brawny,Gnawnia Rift,Swiss String,Swiss String,,,,,16.28%,1751,,,
Supernatural,Gnawnia Rift,Swiss String,Swiss String,,,,,14.48%,1557,,,
Excitable Electric,Gnawnia Rift,Swiss String,Swiss String,,,,,13.81%,1485,,,
Agitated Gentle Giant,Gnawnia Rift,Swiss String,Swiss String,,,,,13.31%,1431,,,
Mighty Mole,Gnawnia Rift,Swiss String,Swiss String,,,,,4.93%,530,,,
Wealth,Gnawnia Rift,Swiss String,Swiss String,,,,,1.93%,208,,,
Brawny,Gnawnia Rift,Marble String,Marble String,,,,,19.05%,1302,,,
Greyrun,Gnawnia Rift,Marble String,Marble String,,,,,18.99%,1298,,,
Riftweaver,Gnawnia Rift,Marble String,Marble String,,,,,18.84%,1288,,,
Excitable Electric,Gnawnia Rift,Marble String,Marble String,,,,,14.29%,977,,,
Supernatural,Gnawnia Rift,Marble String,Marble String,,,,,13.66%,934,,,
Agitated Gentle Giant,Gnawnia Rift,Marble String,Marble String,,,,,13.07%,893,,,
Mighty Mole,Gnawnia Rift,Marble String,Marble String,,,,,2.09%,143,,,
Spiritual Steel,Gnawnia Rift,Riftiago,Riftiago,,,,,25.30%,10597,Spiritual Steel,Gnawnia Rift  Riftiago    ,25.30%
Cyborg,Gnawnia Rift,Riftiago,Riftiago,,,,,24.91%,10435,Cyborg,Gnawnia Rift  Riftiago    ,24.91%
Shard Centurion,Gnawnia Rift,Riftiago,Riftiago,,,,,24.85%,10406,Shard Centurion,Gnawnia Rift  Riftiago    ,24.85%
Rift Guardian,Gnawnia Rift,Riftiago,Riftiago,,,,,15.05%,6305,Rift Guardian,Gnawnia Rift  Riftiago    ,15.05%
Raw Diamond,Gnawnia Rift,Riftiago,Riftiago,,,,,4.97%,2082,Raw Diamond,Gnawnia Rift  Riftiago    ,4.97%
Wealth,Gnawnia Rift,Riftiago,Riftiago,,,,,4.91%,2058,Wealth,Gnawnia Rift  Riftiago    ,4.91%
Goliath Field,Gnawnia Rift,Resonator,Resonator,,,,,100.00%,3307,Goliath Field,Gnawnia Rift  Resonator    ,100.00%
Photographer,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,12.65%,18144,Photographer,Gnawnian Express Station - Train Station      ,12.65%
Travelling Barber,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,12.63%,18109,Travelling Barber,Gnawnian Express Station - Train Station      ,12.63%
Passenger,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,12.63%,18116,Passenger,Gnawnian Express Station - Train Station      ,12.63%
Mysterious Traveller,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,12.59%,18049,Mysterious Traveller,Gnawnian Express Station - Train Station      ,12.59%
Angry Train Staff,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,12.56%,18011,Angry Train Staff,Gnawnian Express Station - Train Station      ,12.56%
Train Conductor,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,12.55%,18001,Train Conductor,Gnawnian Express Station - Train Station      ,12.55%
Upper Class Lady,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,3.93%,5632,Upper Class Lady,Gnawnian Express Station - Train Station      ,3.93%
Stuffy Banker,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,3.86%,5538,Stuffy Banker,Gnawnian Express Station - Train Station      ,3.86%
Bartender,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,3.82%,5474,Bartender,Gnawnian Express Station - Train Station      ,3.82%
Tonic Salesman,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,3.66%,5250,Tonic Salesman,Gnawnian Express Station - Train Station      ,3.66%
Parlour Player,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,3.63%,5210,Parlour Player,Gnawnian Express Station - Train Station      ,3.63%
Farrier,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,3.62%,5192,Farrier,Gnawnian Express Station - Train Station      ,3.62%
Stowaway,Gnawnian Express Station - Train Station,SB+/Gouda,,,,,,1.85%,2657,Stowaway,Gnawnian Express Station - Train Station      ,1.85%
Supply Hoarder,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,17.83%,26659,Supply Hoarder,Gnawnian Express Station - Supply Depot      ,17.83%
Cute Crate Carrier,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,13.91%,20802,Cute Crate Carrier,Gnawnian Express Station - Supply Depot      ,13.91%
Crate Camo,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,10.58%,15821,Crate Camo,Gnawnian Express Station - Supply Depot      ,10.58%
Photographer,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,7.28%,10892,Photographer,Gnawnian Express Station - Supply Depot      ,7.28%
Passenger,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,7.27%,10877,Passenger,Gnawnian Express Station - Supply Depot      ,7.27%
Mysterious Traveller,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,7.25%,10848,Mysterious Traveller,Gnawnian Express Station - Supply Depot      ,7.25%
Angry Train Staff,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,7.23%,10816,Angry Train Staff,Gnawnian Express Station - Supply Depot      ,7.23%
Travelling Barber,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,7.23%,10814,Travelling Barber,Gnawnian Express Station - Supply Depot      ,7.23%
Train Conductor,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,7.31%,10933,Train Conductor,Gnawnian Express Station - Supply Depot      ,7.31%
Upper Class Lady,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,2.20%,3295,Upper Class Lady,Gnawnian Express Station - Supply Depot      ,2.20%
Stuffy Banker,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,2.19%,3279,Stuffy Banker,Gnawnian Express Station - Supply Depot      ,2.19%
Bartender,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,2.21%,3298,Bartender,Gnawnian Express Station - Supply Depot      ,2.21%
Tonic Salesman,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,2.09%,3118,Tonic Salesman,Gnawnian Express Station - Supply Depot      ,2.09%
Parlour Player,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,2.09%,3130,Parlour Player,Gnawnian Express Station - Supply Depot      ,2.09%
Farrier,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,2.19%,3278,Farrier,Gnawnian Express Station - Supply Depot      ,2.19%
Stowaway,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Not Supply Schedule,,,,1.12%,1682,Stowaway,Gnawnian Express Station - Supply Depot      ,1.12%
Cute Crate Carrier,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,20.06%,28829,Cute Crate Carrier,Gnawnian Express Station - Supply Depot    Supply Schedule  ,20.06%
Crate Camo,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,15.51%,22289,Crate Camo,Gnawnian Express Station - Supply Depot    Supply Schedule  ,15.51%
Supply Hoarder,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,10.39%,14925,Supply Hoarder,Gnawnian Express Station - Supply Depot    Supply Schedule  ,10.39%
Warehouse Manager,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,8.97%,12884,Warehouse Manager,Gnawnian Express Station - Supply Depot    Supply Schedule  ,8.97%
Travelling Barber,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,5.74%,8254,Travelling Barber,Gnawnian Express Station - Supply Depot    Supply Schedule  ,5.74%
Photographer,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,5.67%,8152,Photographer,Gnawnian Express Station - Supply Depot    Supply Schedule  ,5.67%
Passenger,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,5.64%,8110,Passenger,Gnawnian Express Station - Supply Depot    Supply Schedule  ,5.64%
Mysterious Traveller,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,5.63%,8091,Mysterious Traveller,Gnawnian Express Station - Supply Depot    Supply Schedule  ,5.63%
Train Conductor,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,5.55%,7970,Train Conductor,Gnawnian Express Station - Supply Depot    Supply Schedule  ,5.55%
Angry Train Staff,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,5.53%,7940,Angry Train Staff,Gnawnian Express Station - Supply Depot    Supply Schedule  ,5.53%
Bartender,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,1.71%,2453,Bartender,Gnawnian Express Station - Supply Depot    Supply Schedule  ,1.71%
Upper Class Lady,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,1.70%,2446,Upper Class Lady,Gnawnian Express Station - Supply Depot    Supply Schedule  ,1.70%
Stuffy Banker,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,1.70%,2443,Stuffy Banker,Gnawnian Express Station - Supply Depot    Supply Schedule  ,1.70%
Farrier,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,1.68%,2420,Farrier,Gnawnian Express Station - Supply Depot    Supply Schedule  ,1.68%
Tonic Salesman,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,1.61%,2312,Tonic Salesman,Gnawnian Express Station - Supply Depot    Supply Schedule  ,1.61%
Parlour Player,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,1.59%,2279,Parlour Player,Gnawnian Express Station - Supply Depot    Supply Schedule  ,1.59%
Stowaway,Gnawnian Express Station - Supply Depot,SB+/Gouda,,Supply Schedule,Supply Schedule,,,1.31%,1883,Stowaway,Gnawnian Express Station - Supply Depot    Supply Schedule  ,1.31%
Cannonball,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,9.57%,7486,Cannonball,Gnawnian Express Station - Raider River      ,9.57%
Automorat,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,9.57%,7483,Automorat,Gnawnian Express Station - Raider River      ,9.57%
Stoutgear,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,9.53%,7453,Stoutgear,Gnawnian Express Station - Raider River      ,9.53%
Hookshot,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,9.50%,7432,Hookshot,Gnawnian Express Station - Raider River      ,9.50%
Mouse With No Name,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,5.18%,4053,Mouse With No Name,Gnawnian Express Station - Raider River      ,5.18%
Sharpshooter,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,5.38%,4208,Sharpshooter,Gnawnian Express Station - Raider River      ,5.38%
Steel Horse Rider,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,5.16%,4039,Steel Horse Rider,Gnawnian Express Station - Raider River      ,5.16%
Photographer,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,5.72%,4475,Photographer,Gnawnian Express Station - Raider River      ,5.72%
Travelling Barber,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,5.85%,4579,Travelling Barber,Gnawnian Express Station - Raider River      ,5.85%
Passenger,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,5.73%,4479,Passenger,Gnawnian Express Station - Raider River      ,5.73%
Mysterious Traveller,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,5.73%,4484,Mysterious Traveller,Gnawnian Express Station - Raider River      ,5.73%
Angry Train Staff,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,5.96%,4659,Angry Train Staff,Gnawnian Express Station - Raider River      ,5.96%
Train Conductor,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,5.93%,4636,Train Conductor,Gnawnian Express Station - Raider River      ,5.93%
Upper Class Lady,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,1.80%,1412,Upper Class Lady,Gnawnian Express Station - Raider River      ,1.80%
Stuffy Banker,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,1.76%,1374,Stuffy Banker,Gnawnian Express Station - Raider River      ,1.76%
Bartender,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,1.69%,1319,Bartender,Gnawnian Express Station - Raider River      ,1.69%
Tonic Salesman,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,1.66%,1299,Tonic Salesman,Gnawnian Express Station - Raider River      ,1.66%
Parlour Player,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,1.77%,1383,Parlour Player,Gnawnian Express Station - Raider River      ,1.77%
Farrier,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,1.71%,1336,Farrier,Gnawnian Express Station - Raider River      ,1.71%
Stowaway,Gnawnian Express Station - Raider River,SB+/Gouda,,No Roof/Door/Track Charms,,,,0.82%,639,Stowaway,Gnawnian Express Station - Raider River      ,0.82%
Sharpshooter,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,13.20%,8732,Sharpshooter,Gnawnian Express Station - Raider River    Door Guard  ,13.20%
Steel Horse Rider,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,13.15%,8703,Steel Horse Rider,Gnawnian Express Station - Raider River    Door Guard  ,13.15%
Mouse With No Name,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,12.91%,8544,Mouse With No Name,Gnawnian Express Station - Raider River    Door Guard  ,12.91%
Dangerous Duo,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,9.71%,6422,Dangerous Duo,Gnawnian Express Station - Raider River    Door Guard  ,9.71%
Hookshot,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,6.26%,4141,Hookshot,Gnawnian Express Station - Raider River    Door Guard  ,6.26%
Stoutgear,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,6.23%,4121,Stoutgear,Gnawnian Express Station - Raider River    Door Guard  ,6.23%
Cannonball,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,6.21%,4111,Cannonball,Gnawnian Express Station - Raider River    Door Guard  ,6.21%
Automorat,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,6.11%,4044,Automorat,Gnawnian Express Station - Raider River    Door Guard  ,6.11%
Travelling Barber,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,3.33%,2204,Travelling Barber,Gnawnian Express Station - Raider River    Door Guard  ,3.33%
Mysterious Traveller,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,3.30%,2182,Mysterious Traveller,Gnawnian Express Station - Raider River    Door Guard  ,3.30%
Angry Train Staff,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,3.27%,2162,Angry Train Staff,Gnawnian Express Station - Raider River    Door Guard  ,3.27%
Photographer,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,3.24%,2145,Photographer,Gnawnian Express Station - Raider River    Door Guard  ,3.24%
Train Conductor,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,3.22%,2131,Train Conductor,Gnawnian Express Station - Raider River    Door Guard  ,3.22%
Passenger,Gnawnian Express Station - Raider River,SB+/Gouda,,Door Guard,Door Guard,,,3.21%,2123,Passenger,Gnawnian Express Station - Raider River    Door Guard  ,3.21%
